"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9"
"Acidobacteriota",4009,7899,8456,2847,2401,3171,3169,2899,2817,3160,3144,1800,2931,2570,3919,3514,3524,14,36,0,0,0,52,3337,2699,3002
"Actinobacteriota",8652,1989,1513,647,829,909,1523,1168,1212,1381,1045,2449,855,466,577,367,920,11664,11241,11968,4422,5567,5943,1118,940,1203
"Armatimonadota",568,287,67,89,166,280,205,158,411,484,217,536,243,263,214,190,280,24,31,0,0,0,0,463,312,348
"Bacteroidota",2574,2148,2804,554,743,462,1019,936,816,745,474,1087,297,541,538,646,802,863,820,6220,1860,1533,1614,587,803,669
"Bdellovibrionota",76,0,0,0,0,0,7,16,17,32,23,50,9,0,0,5,0,77,43,146,104,10,14,0,5,0
"Chloroflexi",3574,4697,4185,1496,1681,2341,2156,2045,1770,1791,1993,1180,1694,1743,2735,2580,3013,136,111,0,6,54,119,2177,1790,2054
"Cyanobacteria",25,0,0,9,9,6,21,18,5,0,7,47,0,6,14,7,0,347,447,21,16,385,114,18,0,13
"Deinococcota",139,806,404,0,42,0,340,152,0,245,6,96,0,0,0,0,122,0,0,0,0,0,0,154,166,184
"Dependentiae",0,8,22,14,0,0,64,38,0,0,29,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfobacterota",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,26,0,0,0
"Firmicutes",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,91,35,0,5,110,166,0,0,0
"Gemmatimonadota",78,212,170,75,94,102,102,20,74,30,51,71,31,110,144,109,121,26,19,0,0,18,7,73,110,126
"Halobacterota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Latescibacterota",0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Margulisbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Myxococcota",15,58,51,29,38,37,27,41,75,36,139,28,63,33,57,14,28,5,0,0,0,0,5,34,58,25
"Nanoarchaeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"NB1-j",0,0,0,5,0,0,6,0,0,0,18,0,17,11,5,9,8,0,0,0,0,0,0,13,12,7
"Nitrospirota",305,2293,2676,206,420,454,427,312,231,239,353,199,345,214,674,784,693,19,13,0,0,8,8,689,345,320
"Patescibacteria",10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,14,15,94,32,23,24,0,0,0
"Planctomycetota",4603,2427,1718,1594,2405,2207,2975,1988,2239,2484,1587,1991,1881,1984,1443,1478,2249,685,848,40,62,233,392,2895,2467,3147
"Proteobacteria",11876,13027,12413,5094,4993,5722,5813,4908,6741,6662,4691,5460,4661,5657,4683,3801,6986,9961,9300,16375,9250,4799,6997,5925,5371,4982
"Unknown",130,938,1802,413,285,441,303,327,197,381,269,294,270,325,382,283,299,78,60,30,19,92,188,282,368,323
"Verrucomicrobiota",446,835,350,327,734,472,946,534,438,218,906,320,773,302,250,279,463,631,607,175,149,847,810,356,657,944
"WPS-2",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
