"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9"
"Acidimicrobiia",0.0279126213592233,0.0404529024027217,0.0352433730992875,0.0375261116084751,0.0355121293800539,0.0443133241013908,0.0527004396064476,0.040745501285347,0.0424807838995482,0.0540026833631485,0.0388446881059036,0.0339308578745198,0.0358887237205351,0.0280492091388401,0.0299968020466901,0.022181146025878,0.0410600779167521,0.0161486650977846,0.0198036560595802,0.00136873021757107,0.00389153904092393,0.0225047493789274,0.0198326055312955,0.0465206114452845,0.0345898279823635,0.0486399262332872
"Acidobacteriae",0.0405879180151025,0.163432915160536,0.182468401081052,0.100566994926887,0.0809299191374663,0.114636642784033,0.0979694368850743,0.117609254498715,0.101860001173502,0.132546958855098,0.163334893360968,0.0697183098591549,0.153677355418702,0.0930755711775044,0.142181004157339,0.14360870183421,0.113953249948739,0,0,0,0,0,0.000303250849102377,0.109265493074334,0.0942060485623797,0.096184877823882
"Actinobacteria",0.204854368932039,0.0120136083351053,0.00606044061041195,0.0107430617726052,0.0198787061994609,0.00987416460954904,0.0270043960644756,0.0339974293059126,0.0286334565510767,0.0231999105545617,0.025272447683359,0.121959026888604,0.0227224463792737,0.0043585237258348,0.00690757914934442,0.00391013792122849,0.00610006151322534,0.455936054532176,0.454341570751523,0.339701730873421,0.273035400451921,0.382799941546106,0.336365841824357,0.0141272556702169,0.0237843880022356,0.0206892577224527
"Alphaproteobacteria",0.126752966558792,0.180602806719115,0.177199639649477,0.226797970754998,0.211590296495957,0.227406827623578,0.194630521247645,0.175,0.239453147919967,0.231440071556351,0.181520358360634,0.160947503201024,0.182982940468606,0.239437609841828,0.196802046690118,0.151286790843168,0.234826737748616,0.0627282317617463,0.063177048070413,0.0107787504633722,0.020901330655285,0.057650153441473,0.0671397379912664,0.195132718944871,0.203254052039993,0.192254495159059
"Anaerolineae",0.0374595469255663,0.048293642355943,0.0352160738172586,0.0460310355117875,0.0413072776280323,0.0637606117165392,0.0561021561649571,0.0598971722365039,0.0627823739951886,0.0586985688729875,0.0589690445945042,0.0352112676056338,0.0645572308345721,0.0414762741652021,0.0590342181004157,0.0575145741504337,0.0725856059052696,0.000852065243852958,0.000677048070412999,0,0,0.000511471576793804,0,0.0360355388775454,0.038129541079302,0.0595320424158598
"Armatimonadia",0.00436893203883495,0.00353497767382522,0,0,0.00154986522911051,0.00559937383346378,0.00193636173330542,0.00089974293059126,0.0110895969019539,0.0112365831842576,0.00421207461389316,0.00774647887323944,0.00523819636157712,0.00175746924428822,0.00198273105212664,0.00241717616948671,0.0011277424646299,0.000973788850117666,0.00131178063642519,0,0,0,0,0.00331107554770708,0.00192510712289635,0.00668510834485938
"Babeliae",0,0.000212630236019562,0.000600584204635418,0.00104446433900328,0,0,0.00334938245760938,0.00244215938303342,0,0,0.00193889148893495,0,0.0036101083032491,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacilli",0,0,0,0,0,0,0.000261670504500733,0,0,0,0,0,0,0,0,0,0,0.00162298141686278,0,0,0,0.00270349262019582,0.00388161086851043,0,0,0
"Bacteroidia",0.0604638619201726,0.0548851796725494,0.0736534629139254,0.032602208296031,0.0393530997304582,0.0187849960864591,0.0435943060498221,0.05,0.0408965557706976,0.0374552772808587,0.0316908470950057,0.0619718309859155,0.0210235718836271,0.0317047451669596,0.029485129517109,0.041091994881274,0.0324994873897888,0.0349346749979713,0.0344871360866622,0.177364624026918,0.116746171227718,0.112012275317843,0.0978893740902474,0.0265989735665802,0.0397441470533441,0.0327916090364223
"Bdellovibrionia",0,0,0,0,0,0,0,0.00038560411311054,0,0,0.000334291636023267,0.000448143405889885,0.000637077935867488,0,0,0.000355467083748045,0,0,0.000253893026404875,0,0,0.000365336840567003,0.000424551188743328,0,0,0
"Blastocatellia",0.0527238403451996,0.0286253455241335,0.0330867298190058,0.0787824529991047,0.044743935309973,0.0418447829490036,0.038936571069709,0.032840616966581,0.0164290324473391,0.0107334525939177,0.0278799224443404,0.0251600512163892,0.0387201812132795,0.0596133567662566,0.0786056923568916,0.0737949665860941,0.0368054131638302,0,0,0,0,0,0,0.0480657800342144,0.0404893498105943,0.0437989857076994
"Chlamydiae",0.000728155339805825,0.00201998724218584,0.00374000163795692,0.0145478961504029,0.0155660377358491,0.0104762478174484,0.0103098178773289,0.00636246786632391,0.00704101390600246,0.00257155635062612,0.0127030821688841,0.00160051216389245,0.00403482692716076,0.014481546572935,0.0104892868564119,0.00988198492819565,0.0121488620053311,0.00316481376288242,0.00503554502369668,0,0,0.00284962735642262,0.00369966035904901,0.00662215109541416,0.0125442464137117,0.0100852927616413
"Chloroflexia",0.0202535059331176,0.0180469912821603,0.0248423466462832,0,0.0168463611859838,0.0138479137816846,0.0162235712790454,0.0197943444730077,0.0151968550137887,0,0.0337634552383499,0.00921895006402049,0.01578537552205,0,0.0282059481931564,0.0333428124555666,0.0134303875333197,0.000811490708431388,0.000719363574813812,0,0,0.00109601052170101,0.00121300339640951,0.011533579824513,0.0121716450350866,0.0162517289073306
"Chthonomonadetes",0.0093042071197411,0.00374760790984478,0.00182905189593514,0.0062667860340197,0.00923180592991914,0.0112589559877175,0.00879212895122462,0.00816195372750643,0.00704101390600246,0.0107893559928444,0.00815671591896771,0.0231113956466069,0.00920223685141927,0.0163093145869947,0.0109370003197953,0.010735105929191,0.0122513840475702,0,0,0,0,0,0,0.0198664532862425,0.0158355585915668,0.0126210235131397
"Clostridia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182585409397062,0.00148104265402844,0,0.000313833793622897,0.00453017682303083,0.00588306647258612,0,0,0
"Coriobacteriia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000424551188743328,0,0,0
"Cyanobacteriia",0.000296655879180151,0,0,0,0,0,0,0,0,0,0,0.00179257362355954,0,0,0,0,0,0.0140793637912846,0.0189150304671632,0.000598819470187345,0.00100426813959327,0.0281309367236592,0.00691411935953421,0,0,0
"Dehalococcoidia",0.000889967637540453,0.00457155007442058,0.00354890666375474,0.000671441360787825,0.00714285714285714,0.00818833162743091,0.00115135021980322,0.0083547557840617,0.00111482720178372,0.00212432915921288,0.00260747476098148,0.00371318822023047,0.00297303036738161,0.00878734622144113,0.00818676047329709,0.0063273140907152,0.00548492925979085,0,0,0,0,0,0,0.00656696650295238,0.00614792274731416,0.00685799907791609
"Deinococci",0.00374865156418554,0.0214224962789709,0.0110289099396686,0,0.00283018867924528,0,0.0177935943060498,0.00976863753213368,0,0.0136963327370304,0.00040114996322792,0.00614596670934699,0,0,0,0,0.00625384457658397,0,0,0,0,0,0,0.00849842723911484,0.0103086381419611,0.0106039649608114
"Desulfobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243447212529417,0,0,0,0,0.000545851528384279,0,0,0
"Desulfuromonadia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000303250849102377,0,0,0
"Fimbriimonadia",0.000970873786407767,0.000345524133531788,0,0.000373022978215458,0.000404312668463612,0,0,0.00109254498714653,0.00598486182010209,0.00503130590339893,0.0010028749080698,0.00345710627400768,0.00191123380760246,0.000421792618629174,0,0.000355467083748045,0,0,0,0,0,0,0,0,0.000310501148854251,0.000749193176579069
"Gammaproteobacteria",0.193527508090615,0.165638953859239,0.161666348175043,0.15323783945091,0.124865229110512,0.11710518393642,0.109587607284907,0.140424164524422,0.156075808249721,0.140988372093023,0.132112054556395,0.188604353393086,0.146527925249522,0.158242530755712,0.102718260313399,0.118939286222096,0.123282755792495,0.341434715572507,0.330357142857143,0.456157860218427,0.559691187547075,0.293000146134736,0.357229500242601,0.131835991391204,0.130286282059244,0.0948593822037805
"Gemmatimonadetes",0.00210355987055016,0.00563470125451839,0.00464087794491005,0.00559534467323187,0.00633423180592992,0.00614124872057318,0.00533807829181495,0.0012853470437018,0.00434195857536819,0.00167710196779964,0.00340977468743732,0.00454545454545455,0.0021943795568769,0.00773286467486819,0.00921010553245923,0.00774918242570738,0.00620258355546442,0.0010549379209608,0.000803994583615437,0,0,0.00131521262604121,0.000424551188743328,0.00402847524971028,0.00683102527479352,0.00726141078838174
"Holophagae",0.00124056094929881,0.00116946629810759,0.00051868635854877,0.00156669650850492,0.00134770889487871,0.001806249623698,0.00198869583420557,0.00250642673521851,0.000352050695300123,0.000782647584973166,0.00147088319850237,0.00166453265044814,0.00353932186593049,0.00133567662565905,0.0013431403901503,0.00106640125124413,0.000973959401271273,0,0.000253893026404875,0,0,0,0,0.00137961481154462,0.00130410482518785,0.00218994928538497
"JG30-KF-CM66",0.00223840345199569,0.0069902190091431,0.00496846932925664,0.00917636526410027,0.0183288409703504,0.00650249864531278,0.0117228386016328,0.0170308483290488,0.00310978114181776,0.00301878354203936,0.0157117068930935,0.00160051216389245,0.014511219650315,0.0179261862917399,0.00511672529581068,0.00547419308971989,0.00912446175927824,0,0,0,0,0,0,0.0157276088516086,0.00807302987021052,0.0140041493775934
"Kapabacteria",0.00895361380798274,0.00220603869870296,0.00289372389506156,0.00872873769024172,0.0107142857142857,0.00903124811848998,0.00973414276742725,0.0101542416452442,0.00698233879011911,0.00419275491949911,0,0.00761843790012804,0,0.00632688927943761,0.00492484809721778,0.00483435233897341,0.00861185154808284,8.11490708431388e-05,0.000211577522004062,0,0,0,0,0.00579438220848739,0.0101223374526486,0.00576302443522361
"KD4-96",0.000943905070118662,0.00154156921114182,0.000900876306953127,0.00492390331244405,0.00357142857142857,0.00590041543741345,0.00654176261251832,0.00032133676092545,0.00140820278120049,0.000279516994633274,0.000869158253660493,0.00224071702944942,0.000778650810504707,0.0021792618629174,0.00383754397185801,0.00191952225223944,0.00123026450686898,0.00113608699180394,0.000930941096817874,0,0,0.000438404208680403,0.00230470645317807,0.00529772087633133,0.00558902067937651,0.00593591516828031
"Latescibacterota",0,0,0,0,0,0.000301041603949666,0,0,0,0,0.000334291636023267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028815122176118
"Limnochordia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438404208680403,0.000303250849102377,0,0,0
"Margulisbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000545851528384279,0,0,0
"Methanomicrobia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000511471576793804,0,0,0,0
"Myxococcia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202872677107847,0,0,0,0,0,0,0,0
"Nanoarchaeia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000439367311072056,0,0,0,0,0
