"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9"
"0319-6G20",0,0,0,0,0,0,0.000366338706301026,0,0.000352050695300123,0.000335420393559928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000310501148854251,0
"11-24",0.00800970873786408,0.0101530937699341,0.00704321476345172,0.0106684571769621,0.0107142857142857,0.0134264555361551,0.00334938245760938,0.00674807197943445,0.0129672006102212,0.00737924865831843,0.0193220565621448,0.00774647887323944,0.023217951440504,0.00998242530755712,0.0250079948832747,0.0272287786151002,0.0133278654910806,0,0,0,0,0,0,0.0140168864852933,0.00465751723281376,0.00824112494236976
"Acetobacterales",0.00798274002157497,0.00845205188177759,0.0045589800988234,0.0117875261116085,0.0108490566037736,0.0132458305737853,0.0173749214988487,0.0213367609254499,0.0203015900956404,0.0224731663685152,0.0157785652202982,0.0115236875800256,0.0125291994053939,0.00934973637961336,0.00748321074512312,0.0100241717616949,0.0103547262661472,0,0.000380839539607312,0.000114060851464256,0,0,0,0.00838805805419127,0.00788672918089797,0.0123905025357308
"Acidobacteriae",0,0,0,0,0.0045822102425876,0.00397374917213559,0,0,0,0.00134168157423971,0,0,0,0,0,0,0,0,0,0,0,0,0.000303250849102377,0,0,0
"Acidobacteriales",0.00304746494066882,0.00233893259621518,0.00212934399825285,0.00552074007758878,0.0022911051212938,0.00680354024926245,0.00559974879631568,0,0,0,0,0.00460947503201024,0,0.00731107205623902,0.0121522225775504,0.0146452438504195,0.00594627844986672,0,0,0,0,0,0,0.00568401302356382,0.00552692044960566,0.00633932687874597
"Actinomycetales",0,0,0,0,0,0,0,0,0,0,0.000936016580865147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKIW659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000426560500497654,0,0,0,0,0,0,0,0.000386292147232493,0,0
"Anaerolineae",0.000943905070118662,0.00103657240059536,0.00232043897245502,0.00343181139958221,0.0043800539083558,0.00427479077608525,0.00251203684320703,0.00282776349614396,0.00146687789708385,0.000838550983899821,0,0.00256081946222791,0.0021943795568769,0.00302284710017575,0,0.00106640125124413,0.00358827147836785,0,0,0,0,0,0,0.00231775288339496,0.00546482021983481,0.00213231904103273
"Anaerolineales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243447212529417,0,0,0,0.000511471576793804,0,0,0,0
"Armatimonadales",0.00436893203883495,0.00353497767382522,0,0,0.00154986522911051,0.00559937383346378,0.00193636173330542,0.00089974293059126,0.0110895969019539,0.0112365831842576,0.00421207461389316,0.00774647887323944,0.00523819636157712,0.00175746924428822,0.00198273105212664,0.00241717616948671,0.0011277424646299,0.000973788850117666,0.00131178063642519,0,0,0,0,0.00331107554770708,0.00192510712289635,0.00668510834485938
"Babeliales",0,0.000212630236019562,0.000600584204635418,0.00104446433900328,0,0,0.00334938245760938,0.00244215938303342,0,0,0.00193889148893495,0,0.0036101083032491,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillales",0,0,0,0,0,0,0.000261670504500733,0,0,0,0,0,0,0,0,0,0,0.00113608699180394,0,0,0,0.00270349262019582,0.000606501698204755,0,0,0
"Bacteriovoracales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000365336840567003,0.000424551188743328,0,0,0
"Bacteroidales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000465470548408937,0,0,0,0.000303250849102377,0,0,0
"BD72BR169",0.000134843581445523,0,0,0,0.000336927223719677,0,0,0,0.000469400927066831,0,0,0,0.000495505061230268,0.00070298769771529,0,0.000497653917247263,0,0,0,0,0,0,0,0,0.000434701608395951,0
"Bdellovibrionales",0,0,0,0,0,0,0,0.00038560411311054,0,0,0.000334291636023267,0.000448143405889885,0.000637077935867488,0,0,0.000355467083748045,0,0,0.000253893026404875,0,0,0,0,0,0,0
"Bifidobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000405745354215694,0,0,0,0,0,0,0,0
"Blastocatellales",0.0447141316073355,0.0184722517541994,0.026043515055554,0.0681139958221426,0.0334905660377358,0.027936660846529,0.0348545111994976,0.0260925449871465,0,0.000559033989266547,0.00768870762853513,0.0170294494238156,0.0146527925249522,0.0491388400702988,0.0535976974736169,0.0465661879709939,0.0231187205249129,0,0,0,0,0,0,0.0340488935489211,0.0339067254548842,0.033944213923467
"Blfdi19",0,0,0,0,0,0,0.000418672807201172,0,0.000293375579416769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryobacterales",0.0230582524271845,0.0836168403146928,0.0847096721356228,0.0440913160250671,0.0398247978436658,0.076584984044795,0.0679296629683902,0.0832262210796915,0.071290265798275,0.0731775491949911,0.0748144681420071,0.0465428937259923,0.0724853118142564,0.0447100175746924,0.0868564118963863,0.0873027157685198,0.0709452532294443,0,0,0,0,0,0,0.0790795209977374,0.0681239520586226,0.0593591516828031
"Burkholderiales",0.164940668824164,0.0822879013395705,0.0829079195217166,0.0810205908683975,0.0840970350404313,0.0705641519658017,0.071069709022399,0.087853470437018,0.0954057384263334,0.0862589445438283,0.071939560072207,0.153649167733675,0.0809796842924896,0.0785940246045694,0.0564118963863128,0.0695293615811176,0.0697662497436949,0.309827152479104,0.306618144888287,0.453591491060481,0.552410243535024,0.263334794680696,0.321870451237263,0.0789139672203521,0.0886170278830032,0.050541724296911
"Caldilineales",0,0.000212630236019562,0,0,0.000336927223719677,0,0,0.0006426735218509,0,0,0.00167145818011633,0,0.00134494230905359,0,0,0,0.000358827147836785,0,0,0,0,0,0,0.00082776888692677,0.000372601378625101,0.000518672199170124
