"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9"
"Acidobacteriota",0.10811758360302,0.209945779289815,0.230842728836232,0.212399283795882,0.161792452830189,0.190920585224878,0.165846765752564,0.186311053984576,0.165287801443408,0.176654740608229,0.21020258073143,0.115236875800256,0.207475047780845,0.18066783831283,0.250655580428526,0.249822266458126,0.180643838425261,0.000568043495901972,0.00152335815842925,0,0,0,0.00315380883066473,0.184150985044975,0.167608520151525,0.173005993545413
"Actinobacteriota",0.233333333333333,0.0528651924303636,0.0413038137096994,0.0482691733810803,0.0558625336927224,0.0547293635980493,0.0797048356709232,0.0750642673521851,0.0711142404506249,0.0772025939177102,0.0698669519288627,0.156786171574904,0.0605224039074113,0.0327592267135325,0.0369043811960345,0.0260912839471065,0.0471601394299774,0.473261381157186,0.475668584969533,0.341270067581054,0.27755460708009,0.406766038287301,0.360443959243086,0.0616963743722753,0.0583742159845991,0.06932918395574
"Armatimonadota",0.0153182308522114,0.00762810971720179,0.00182905189593514,0.00663980901223515,0.0111859838274933,0.0168583298211813,0.01072849068453,0.0101542416452442,0.0241154726280584,0.0270572450805009,0.0145082570034098,0.034314980793854,0.0172011042684222,0.0184885764499121,0.0136872401662936,0.0135077491824257,0.0143530859134714,0.000973788850117666,0.00131178063642519,0,0,0,0,0.0255504663098063,0.0193752716885052,0.0200553250345781
"Bacteroidota",0.0694174757281553,0.0570912183712524,0.0765471868089869,0.0413309459862728,0.0500673854447439,0.0278162442049491,0.0533284488172493,0.0601542416452442,0.0478788945608168,0.0416480322003578,0.0316908470950057,0.0695902688860435,0.0210235718836271,0.0380316344463972,0.0344099776143268,0.0459263472202474,0.0411113389378716,0.0350158240688144,0.0346987136086662,0.177364624026918,0.116746171227718,0.112012275317843,0.0978893740902474,0.0323933557750676,0.0498664845059927,0.0385546334716459
"Bdellovibrionota",0.00204962243797195,0,0,0,0,0,0.000366338706301026,0.00102827763496144,0.000997476970017016,0.00178890876565295,0.00153774152570703,0.00320102432778489,0.000637077935867488,0,0,0.000355467083748045,0,0.00312423922746085,0.00181956668923494,0.00416322107844535,0.00652774290735626,0.000730673681134006,0.000849102377486657,0,0.000310501148854251,0
"Chloroflexi",0.09638619201726,0.124840527322985,0.114247495290874,0.111608475082065,0.113274932614555,0.140947678969234,0.112832321540716,0.131426735218509,0.103854955113536,0.100122987477639,0.133248646118874,0.0755441741357234,0.119912224817725,0.122530755711775,0.174928046050528,0.183421015213991,0.154449456633176,0.00551813681733344,0.00469702098849018,0,0.000376600552347477,0.00394563787812363,0.00721737020863658,0.120136857789305,0.111159411289822,0.118372521899493
"Cyanobacteria",0.000674217907227616,0,0,0.000671441360787825,0.000606469002695418,0.000361249924739599,0.00109901611890308,0.00115681233933162,0.000293375579416769,0,0.000468008290432573,0.0030089628681178,0,0.000421792618629174,0.000895426926766869,0.000497653917247263,0,0.0140793637912846,0.0189150304671632,0.000598819470187345,0.00100426813959327,0.0281309367236592,0.00691411935953421,0.000993322664312124,0,0.000749193176579069
"Deinococcota",0.00374865156418554,0.0214224962789709,0.0110289099396686,0,0.00283018867924528,0,0.0177935943060498,0.00976863753213368,0,0.0136963327370304,0.00040114996322792,0.00614596670934699,0,0,0,0,0.00625384457658397,0,0,0,0,0,0,0.00849842723911484,0.0103086381419611,0.0106039649608114
"Dependentiae",0,0.000212630236019562,0.000600584204635418,0.00104446433900328,0,0,0.00334938245760938,0.00244215938303342,0,0,0.00193889148893495,0,0.0036101083032491,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfobacterota",0,0,0,0.000373022978215458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000446319889637264,0.000253893026404875,0,0,0,0.00157690441533236,0,0,0
"Firmicutes",0,0,0,0,0,0,0.000261670504500733,0,0,0,0,0,0,0,0,0,0,0.00369228272336282,0.00148104265402844,0,0.000313833793622897,0.00803741049247406,0.0100679281901989,0,0,0
"Gemmatimonadota",0.00210355987055016,0.00563470125451839,0.00464087794491005,0.00559534467323187,0.00633423180592992,0.00614124872057318,0.00533807829181495,0.0012853470437018,0.00434195857536819,0.00167710196779964,0.00340977468743732,0.00454545454545455,0.0021943795568769,0.00773286467486819,0.00921010553245923,0.00774918242570738,0.00620258355546442,0.0010549379209608,0.000803994583615437,0,0,0.00131521262604121,0.000424551188743328,0.00402847524971028,0.00683102527479352,0.00726141078838174
"Halobacterota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000511471576793804,0,0,0,0
"Latescibacterota",0,0,0,0,0,0.000301041603949666,0,0,0,0,0.000334291636023267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028815122176118
"Margulisbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000545851528384279,0,0,0
"Myxococcota",0.00040453074433657,0.00154156921114182,0.00139226338347301,0.00216353327364966,0.00256064690026954,0.00222770786922753,0.00141302072430396,0.00263496143958869,0.00440063369125154,0.00201252236135957,0.00929330748144681,0.00179257362355954,0.00445954555107241,0.00231985940246046,0.00364566677326511,0.000995307834494526,0.00143530859134714,0.000202872677107847,0,0,0,0,0.000303250849102377,0.00187627614370068,0.00360181332670931,0.0014407561088059
"Nanoarchaeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000439367311072056,0,0,0,0,0
"NB1-j",0,0,0,0.000373022978215458,0,0,0.000314004605400879,0,0,0,0.00120344988968376,0,0.00120336943441637,0.000773286467486819,0.000319795330988168,0.000639840750746481,0.000410088168956326,0,0,0,0,0,0,0.000717399702003201,0.000745202757250202,0.000403411710465652
"Nitrospirota",0.00822545846817692,0.060945141399107,0.0730528787092899,0.0153685467024769,0.0283018867924528,0.0273345776386297,0.0223466610843626,0.0200514138817481,0.0135539517690547,0.0133609123434705,0.0236009895032426,0.0127400768245839,0.0244213208749204,0.0150439367311072,0.043108410617205,0.0557372387316934,0.0355238876358417,0.000770916173009819,0.000550101557210562,0,0,0.000584538944907204,0.000485201358563804,0.0380221842061696,0.0214245792709433,0.0184416781927155
"Patescibacteria",0.000269687162891046,0,0,0,0,0,0,0,0,0,0,0.000768245838668374,0,0,0,0,0,0.000568043495901972,0.000634732566012187,0.00268043000941002,0.00200853627918654,0.00168054946660821,0.00145560407569141,0,0,0
"Planctomycetota",0.124137001078749,0.0645066978524346,0.0469001665256204,0.118919725455088,0.162061994609164,0.132879763983382,0.155693950177936,0.127763496143959,0.131373584462829,0.13886404293381,0.106104165273785,0.127464788732394,0.133149288596305,0.139472759226714,0.0922929325231852,0.105076069955922,0.115286036497847,0.0277935567637751,0.035883547731889,0.00114060851464256,0.00389153904092393,0.0170246967704223,0.0237748665696264,0.159759395176867,0.153201266844687,0.181362378976487
"Proteobacteria",0.320280474649407,0.346241760578354,0.33886598782452,0.380035810205909,0.336455525606469,0.344512011559998,0.304218128532552,0.315424164524422,0.395528956169688,0.372428443649374,0.313632412917029,0.34955185659411,0.32993558434204,0.39768014059754,0.299520307003518,0.270226077065264,0.358109493541111,0.404162947334253,0.393534190927556,0.466936610681799,0.58059251820236,0.350650299576209,0.424369238233867,0.326968710336074,0.333540334099236,0.28711387736284
"Unknown",0.0035059331175836,0.0249308951732936,0.0491933062160465,0.0308116980005968,0.0192048517520216,0.0265518694683605,0.0158572325727444,0.0210154241645244,0.0115589978290207,0.0212991949910555,0.0179848900180517,0.0188220230473752,0.0191123380760246,0.0228471001757469,0.024432363287496,0.0201194369401393,0.0153270453147427,0.00316481376288242,0.00253893026404875,0.000855456385981921,0.00119256841576701,0.00672219786643285,0.0114022319262494,0.0155620550742233,0.0228528845556729,0.0186145689257722
"Verrucomicrobiota",0.0120280474649407,0.0221932808845418,0.00955474871010892,0.024395702775291,0.0494609164420485,0.0284183274128485,0.0495080594515386,0.034318766066838,0.025699700756909,0.0121869409660107,0.0605736444474159,0.0204865556978233,0.0547179160472853,0.0212302284710018,0.0159897665494084,0.0198350632731409,0.0237338527783473,0.0256025318510103,0.0256855111712932,0.00499016225156121,0.00935224704996234,0.0618880607920503,0.0491266375545851,0.0196457149163953,0.0407998509594485,0.0544029506685108
"WPS-2",0,0,0,0,0,0,0,0,0,0,0,0,0.000424718623911659,0,0,0,0,0,0,0,0,0,0,0,0,0
