"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9","Domain","Phylum","Class","Order","Family","Genus","Species"
"9c15f90b81f25bf0d53b38f4a9222ef1",0,0,0,0,0,0,0,0,0,0,0.00060172494484188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unassigned",NA,NA,NA,NA,NA,NA
"1178bdb3735d24d0a15315094cbf4819",0,0,0,0,0,0,0,0,0,0,0.000334291636023267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unassigned",NA,NA,NA,NA,NA,NA
"e39ca12af0b7906074a23b01131b8ae8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000511672529581068,0,0,0,0,0,0,0,0,0,0,0,"Unassigned",NA,NA,NA,NA,NA,NA
"f2e937b2ffd55bbb3686f4c468d6a342",0,0,0,0,0,0,0,0,0,0,0.00113659156247911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota",NA,NA,NA,NA,NA,NA
"f06734a8c69d0653106fb7b579058269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380839539607312,0,0,0,0,0,0,0,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a",NA
"9394de2f0e319c7c8e6459ec5f069e57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000568043495901972,0,0,0,0,0,0,0,0,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a",NA
"eeb1c6637cc09e528f0e644711709814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000606501698204755,0,0,0,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a",NA
"a60a25661a2ba9d7e094eda175ca9948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253893026404875,0,0,0,0,0,0,0,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8",NA
"b7e3261f2844c0dd54ab4402cf4a7817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000363901018922853,0,0,0,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8",NA
"54cf64ee76401e5c78f6db66d7008319",0,0,0,0,0,0,0,0,0,0,0,0,0.000778650810504707,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",NA
"3897b345fcd25033b74f9496645e75d0",0,0,0,0,0,0,0,0,0,0,0.00193889148893495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",NA
"d85999b2070864e84eae72d0f839582c",0,0,0,0,0.000471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",NA
"e9e7f4c17c8d217f11e1fb10e6461f05",0,0,0,0,0,0.000301041603949666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",NA
"3e533cd997a5387b41dc437bc1943b6f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296208530805687,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",NA
"03bf7a843c610cec4b1f844fdb7fcd4f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243447212529417,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",NA
"e0989d373e70b27cae9454831af820a4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00207130303791112,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",NA
"f70c05ee80d7d78937dfedd660b415a0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000769910747383729,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",NA
"7471285901a935d79bec67a278f7ba80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105788761002031,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",NA
"f39e223d707348d9f75a16278f54bdf6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000446319889637264,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",NA
"6d1aa45c7dd3303002b6a421fdf29708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000211577522004062,0,0,0,0,0,0,0,"Bacteria",NA,NA,NA,NA,NA,NA
"aa9bcf7d66935175e464fed74ed929ea",0,0,0,0,0,0,0,0,0,0,0,0.000448143405889885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria",NA,NA,NA,NA,NA,NA
"45c58ac406c17d64c9827f215d4ec484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028515212866064,0,0,0,0,0,0,"Bacteria",NA,NA,NA,NA,NA,NA
"4f03915b99e03fbb57eb3fb86c25d193",0.000134843581445523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria",NA,NA,NA,NA,NA,NA
"5f1e58e61f67fb229b60103cd721ebf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000502134069796636,0,0,0,0,0,"Bacteria",NA,NA,NA,NA,NA,NA
"69809d1b368c262cc70f0ebd1174e93b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157690441533236,0,0,0,"Bacteria",NA,NA,NA,NA,NA,NA
"a103c1e885d108b29ab772f2564d8a45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00073034163758825,0,0,0,0,0,0,0,0,"Bacteria",NA,NA,NA,NA,NA,NA
"e6f7ecc150d7439969b261c42e434f0e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00138827999415461,0,0,0,0,"Bacteria",NA,NA,NA,NA,NA,NA
"685c0cd3c34782089a1c80d3768a2999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000423155044008125,0,0,0,0,0,0,0,"Bacteria",NA,NA,NA,NA,NA,NA
"5c617b9f5406962b77e4a47ac29c7a46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115235322658903,0,0,0,"Bacteria",NA,NA,NA,NA,NA,NA
