"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9","Domain","Phylum","Class","Order","Family"
"0319-6G20",0,0,0,0,0,0,0.000366338706301026,0,0.000352050695300123,0.000335420393559928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000310501148854251,0,"Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","0319-6G20"
"11-24",0.00800970873786408,0.0101530937699341,0.00704321476345172,0.0106684571769621,0.0107142857142857,0.0134264555361551,0.00334938245760938,0.00674807197943445,0.0129672006102212,0.00737924865831843,0.0193220565621448,0.00774647887323944,0.023217951440504,0.00998242530755712,0.0250079948832747,0.0272287786151002,0.0133278654910806,0,0,0,0,0,0,0.0140168864852933,0.00465751723281376,0.00824112494236976,"Bacteria","Acidobacteriota","Blastocatellia","11-24","11-24"
"67-14",0.000161812297734628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202872677107847,0,0,0,0.000584538944907204,0,0,0,0,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14"
"A0839",0.000161812297734628,0.000584733149053795,0.000791679178837597,0.00164130110414802,0.000943396226415094,0.00102354145342886,0.00183169353150513,0.00122107969151671,0.000410725811183477,0,0.00080229992645584,0.000448143405889885,0.00276067105542578,0.00119507908611599,0.00185481291973137,0.00270154983648514,0.00179413573918392,0.000243447212529417,0.000253893026404875,0,0,0,0,0.00126924562662105,0.00117990436564615,0.00155601659751037,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","A0839"
"A21b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000363901018922853,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","A21b"
"A4b",0.00107874865156419,0.00438549861790347,0.00292102317709044,0.00656520441659206,0.00168463611859838,0.0101149978927088,0.0109901611890308,0.0100899742930591,0.0138473273484715,0.00978309481216458,0.00361034966905128,0.00198463508322663,0.00764493523040985,0.00471001757469244,0.0017268947873361,0.00170624200199062,0.00738158704121386,0,0,0,0,0,0,0.00579438220848739,0,0.00242047026279391,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b"
"Acetobacteraceae",0.00798274002157497,0.00845205188177759,0.0045589800988234,0.0117875261116085,0.0108490566037736,0.0132458305737853,0.0173749214988487,0.0213367609254499,0.0203015900956404,0.0224731663685152,0.0157785652202982,0.0115236875800256,0.0125291994053939,0.00934973637961336,0.00748321074512312,0.0100241717616949,0.0103547262661472,0,0.000380839539607312,0.000114060851464256,0,0,0,0.00838805805419127,0.00788672918089797,0.0123905025357308,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae"
"Acidobacteriae",0,0,0,0,0.0045822102425876,0.00397374917213559,0,0,0,0.00134168157423971,0,0,0,0,0,0,0,0,0,0,0,0,0.000303250849102377,0,0,0,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriae","Acidobacteriae"
"Actinomycetaceae",0,0,0,0,0,0,0,0,0,0,0.000936016580865147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae"
"Aerococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae"
"AKIW659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000426560500497654,0,0,0,0,0,0,0,0.000386292147232493,0,0,"Bacteria","Acidobacteriota","Acidobacteriae","AKIW659","AKIW659"
"Alcaligenaceae",0.0118932038834951,0.0011163087391027,0.000682482050722066,0.00156669650850492,0,0.00222770786922753,0.00204102993510571,0,0.00134952766531714,0,0.0020057498161396,0.00781049935979513,0.00226516599419551,0.00189806678383128,0.00140709945634794,0.00170624200199062,0.000973959401271273,0.0049095187860099,0.00516249153689912,0.0282585759502695,0.0192066281697213,0.0103755662721029,0.0129184861717613,0.00176590695877711,0.00204930758243806,0.00190179806362379,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae"
"Anaerolineaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243447212529417,0,0,0,0.000511471576793804,0,0,0,0,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae"
"Anaerolineae",0.000943905070118662,0.00103657240059536,0.00232043897245502,0.00343181139958221,0.0043800539083558,0.00427479077608525,0.00251203684320703,0.00282776349614396,0.00146687789708385,0.000838550983899821,0,0.00256081946222791,0.0021943795568769,0.00302284710017575,0,0.00106640125124413,0.00358827147836785,0,0,0,0,0,0,0.00231775288339496,0.00546482021983481,0.00213231904103273,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineae","Anaerolineae"
"Anaeromyxobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202872677107847,0,0,0,0,0,0,0,0,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae"
"Anaerovoracaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae"
"Armatimonadaceae",0.00242718446601942,0.00191367212417606,0,0,0.00154986522911051,0.00301041603949666,0.000837345614402345,0.00089974293059126,0.00580883647245203,0.00547853309481216,0.00274119141539079,0.00224071702944942,0.00339774899129327,0.000421792618629174,0.000639590661976335,0.000924214417744917,0,0.000973788850117666,0.00131178063642519,0,0,0,0,0.00182109155123889,0,0.00259336099585062,"Bacteria","Armatimonadota","Armatimonadia","Armatimonadales","Armatimonadaceae"
"Armatimonadales",0.00194174757281553,0.00162130554964916,0,0,0,0.00258895779396713,0.00109901611890308,0,0.00528076042950185,0.00575805008944544,0.00147088319850237,0.00550576184379001,0.00184044737028385,0.00133567662565905,0.0013431403901503,0.00149296175174179,0.0011277424646299,0,0,0,0,0,0,0.00148998399646819,0.00130410482518785,0.00409174734900876,"Bacteria","Armatimonadota","Armatimonadia","Armatimonadales","Armatimonadales"
"B1-7BS",0.0017529665587918,0.00353497767382522,0.0026753296388305,0.00686362279916443,0.0057277628032345,0.00252874947317719,0.00471006908101319,0.00764781491002571,0.0068649885583524,0.00777057245080501,0.00080229992645584,0.00396927016645326,0.00318538967933744,0.0043585237258348,0.00364566677326511,0.00504763258922224,0.000768915316793111,0.000284021747950986,0,0,0,0,0,0.00463550576678991,0.00360181332670931,0.00553250345781466,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","B1-7BS"
