"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9","Domain","Phylum","Class","Order","Family","Genus"
"[Eubacterium]_eligens_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium]_eligens_group"
"0319-6G20",0,0,0,0,0,0,0.000366338706301026,0,0.000352050695300123,0.000335420393559928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000310501148854251,0,"Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","0319-6G20","0319-6G20"
"11-24",0.00800970873786408,0.0101530937699341,0.00704321476345172,0.0106684571769621,0.0107142857142857,0.0134264555361551,0.00334938245760938,0.00674807197943445,0.0129672006102212,0.00737924865831843,0.0193220565621448,0.00774647887323944,0.023217951440504,0.00998242530755712,0.0250079948832747,0.0272287786151002,0.0133278654910806,0,0,0,0,0,0,0.0140168864852933,0.00465751723281376,0.00824112494236976,"Bacteria","Acidobacteriota","Blastocatellia","11-24","11-24","11-24"
"67-14",0.000161812297734628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202872677107847,0,0,0,0.000584538944907204,0,0,0,0,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14"
"966-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000649192566745111,0.00050778605280975,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","966-1"
"A0839",0.000161812297734628,0.000584733149053795,0.000791679178837597,0.00164130110414802,0.000943396226415094,0.00102354145342886,0.00183169353150513,0.00122107969151671,0.000410725811183477,0,0.00080229992645584,0.000448143405889885,0.00276067105542578,0.00119507908611599,0.00185481291973137,0.00270154983648514,0.00179413573918392,0.000243447212529417,0.000253893026404875,0,0,0,0,0.00126924562662105,0.00117990436564615,0.00155601659751037,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","A0839","A0839"
"A21b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000363901018922853,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","A21b","A21b"
"A4b",0.00107874865156419,0.00438549861790347,0.00292102317709044,0.00656520441659206,0.00168463611859838,0.0101149978927088,0.0109901611890308,0.0100899742930591,0.0138473273484715,0.00978309481216458,0.00361034966905128,0.00198463508322663,0.00764493523040985,0.00471001757469244,0.0017268947873361,0.00170624200199062,0.00738158704121386,0,0,0,0,0,0,0.00579438220848739,0,0.00242047026279391,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","A4b"
"Acidibacter",0.000539374325782093,0.00100999362109292,0.0014195626655019,0.00343181139958221,0.00215633423180593,0.00319104100186646,0.00366338706301026,0.00224935732647815,0.00586751158833539,0.00268336314847943,0,0.000704225352112676,0.00169887449564663,0.00147627416520211,0.00223856731691717,0.00191952225223944,0.00102522042239081,0,0,0,0,0,0,0.00402847524971028,0.0019872073526672,0.00213231904103273,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter"
"Acidiphilium",0.000943905070118662,0,0,0,0,0,0,0,0,0,0,0.00147247119078105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidiphilium"
