"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9"
"0319-6G20",0,0,0,0,0,0,7,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"11-24",297,382,258,143,159,223,64,105,221,132,289,121,328,142,391,383,260,0,0,0,0,0,0,254,75,143
"67-14",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0
"A0839",6,22,29,22,14,17,35,19,7,0,12,7,39,17,29,38,35,6,6,0,0,0,0,23,19,27
"A21b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"A4b",40,165,107,88,25,168,210,157,236,175,54,31,108,67,27,24,144,0,0,0,0,0,0,105,0,42
"Acetobacteraceae",296,318,167,158,161,220,332,332,346,402,236,180,177,133,117,141,202,0,9,4,0,0,0,152,127,215
"Acidobacteriae",0,0,0,0,68,66,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Actinomycetaceae",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aerococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKIW659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0
"Alcaligenaceae",441,42,25,21,0,37,39,0,23,0,30,122,32,27,22,24,19,121,122,991,306,142,213,32,33,33
"Anaerolineaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0
"Anaerolineae",35,39,85,46,65,71,48,44,25,15,0,40,31,43,0,15,70,0,0,0,0,0,0,42,88,37
"Anaeromyxobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Anaerovoracaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armatimonadaceae",90,72,0,0,23,50,16,14,99,98,41,35,48,6,10,13,0,24,31,0,0,0,0,33,0,45
"Armatimonadales",72,61,0,0,0,43,21,0,90,103,22,86,26,19,21,21,22,0,0,0,0,0,0,27,21,71
"B1-7BS",65,133,98,92,85,42,90,119,117,139,12,62,45,62,57,71,15,7,0,0,0,0,0,84,58,96
"Bacillaceae",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Bacteriovoracaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0
"Bacteroidetes_vadinHA17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"BD72BR169",5,0,0,0,5,0,0,0,8,0,0,0,7,10,0,7,0,0,0,0,0,0,0,0,7,0
"Bdellovibrionaceae",0,0,0,0,0,0,0,6,0,0,5,7,9,0,0,5,0,0,6,0,0,0,0,0,0,0
"Beijerinckiaceae",260,255,200,203,189,108,83,114,113,272,97,170,73,105,98,67,106,260,275,103,83,159,275,119,115,97
"Bifidobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"Blastocatellaceae",1658,695,954,913,497,464,666,406,0,10,115,266,207,699,838,655,451,0,0,0,0,0,0,617,546,589
"Blfdi19",0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryobacteraceae",855,3146,3103,591,591,1272,1298,1295,1215,1309,1119,727,1024,636,1358,1228,1384,0,0,0,0,0,0,1433,1097,1030
"Burkholderiaceae",993,58,12,9,46,0,62,51,76,58,21,208,21,0,0,0,0,607,549,5413,5215,351,734,58,70,43
"Caldilineaceae",0,8,0,0,5,0,0,10,0,0,25,0,19,0,0,0,7,0,0,0,0,0,0,15,6,9
"Candidatus_Yanofskybacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"Candidatus_Zambryskibacteria",10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,38,7,7,8,0,0,0
"Catellicoccaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"Caulobacteraceae",16,0,0,0,0,0,13,9,72,43,0,18,5,0,0,0,0,57,54,24,21,103,136,5,15,0
"CCD24",5,26,0,35,18,31,32,37,98,79,76,0,64,30,27,33,0,0,0,0,0,0,0,0,8,7
"Cellvibrionaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,6,11,0,0,0
"Chitinibacteraceae",48,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,6,17,35,18,0,0,0,0,0
"Chitinophagaceae",1844,1877,2550,260,354,173,735,618,397,453,141,624,163,284,399,482,519,312,295,1608,655,335,364,372,444,463
"Chloroplast",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,332,400,21,10,357,85,0,0,0
"Chthoniobacteraceae",212,631,141,40,283,132,413,248,11,0,511,75,572,0,8,9,108,72,57,0,0,31,21,99,274,474
"Chthonomonadaceae",246,135,60,71,137,179,150,127,120,181,83,250,101,193,143,145,219,0,0,0,0,0,0,337,233,212
"Chthonomonadales",99,6,7,13,0,8,18,0,0,12,39,111,29,39,28,6,20,0,0,0,0,0,0,23,22,7
"Clade_III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,93,9,0,0,0,0
"Clostridiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,16,0,0,0
"Comamonadaceae",2623,273,194,125,171,230,234,267,207,181,140,951,163,155,52,77,236,4889,4699,7873,2323,1806,2679,205,247,99
"Competibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,6,0,0,0
"Coriobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"Corynebacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0
"Coxiellaceae",0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crocinitomicaceae",0,5,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,68,80,9,0,59,102,0,0,0
"cvE6",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,27,48,0,0,8,19,0,0,0
"Cyanobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,15,5,0,0,0,0,0,0,0
"Cyanobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"Cyclobacteriaceae",15,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,5,0,14,22,0,29,0,0,0
"Deinococcaceae",139,806,404,0,42,0,340,152,0,245,6,96,0,0,0,0,122,0,0,0,0,0,0,154,166,184
"Desulfatiglandaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Desulfosarcinaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Devosiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,20,0,0,0,15,0,0,0
"Diplorickettsiaceae",100,133,39,14,46,61,5,34,35,16,27,51,26,95,42,14,103,132,130,11,23,159,216,55,83,65
"Dongiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Elev-16S-1166",303,1432,1488,28,198,209,162,179,150,149,730,168,597,9,309,258,249,0,0,0,0,0,0,228,114,125
"env.OPS_17",113,15,0,6,0,8,0,12,19,22,78,90,14,17,8,11,0,65,43,0,22,210,160,8,13,0
