"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9"
"[Eubacterium]_eligens_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0319-6G20",0,0,0,0,0,0,7,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"11-24",297,382,258,143,159,223,64,105,221,132,289,121,328,142,391,383,260,0,0,0,0,0,0,254,75,143
"67-14",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0
"966-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,0,0
"A0839",6,22,29,22,14,17,35,19,7,0,12,7,39,17,29,38,35,6,6,0,0,0,0,23,19,27
"A21b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"A4b",40,165,107,88,25,168,210,157,236,175,54,31,108,67,27,24,144,0,0,0,0,0,0,105,0,42
"Acidibacter",20,38,52,46,32,53,70,35,100,48,0,11,24,21,35,27,20,0,0,0,0,0,0,73,32,37
"Acidiphilium",35,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,5,11,0,0,0
"Actinoallomurus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,0,0,0
"Actinomyces",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADurb.Bin063-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Aerococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afipia",0,0,0,0,0,0,0,0,0,18,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKIW659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0
"Algoriphagus",15,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,5,0,14,22,0,29,0,0,0
"Allocatelliglobosispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"alphaI_cluster",53,0,5,0,0,0,0,0,0,0,25,29,0,0,0,7,0,67,39,17,0,28,0,0,12,0
"Alsobacter",55,55,39,30,18,33,44,36,91,101,56,40,31,56,0,0,61,0,14,0,0,0,0,44,48,32
"Altererythrobacter",0,0,0,0,0,0,6,0,0,0,0,14,0,0,0,0,0,41,67,0,0,69,83,0,0,0
"Amnipila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerolineae",35,39,85,46,65,71,48,44,25,15,0,40,31,43,0,15,70,0,0,0,0,0,0,42,88,37
"Anaeromyxobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Aquabacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
"Aquicella",15,21,16,14,12,10,5,0,20,11,21,0,19,5,0,14,0,12,0,0,6,11,23,0,13,13
"Arenimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,11,0,0,0
"Armatimonadales",72,61,0,0,0,43,21,0,90,103,22,86,26,19,21,21,22,0,0,0,0,0,0,27,21,71
"Armatimonas",90,72,0,0,23,50,16,14,99,98,41,35,48,6,10,13,0,24,31,0,0,0,0,33,0,45
"Aurantimicrobium",244,9,0,0,7,0,0,0,31,29,38,105,17,0,13,0,0,539,528,281,141,290,239,0,14,12
"B1-7BS",65,133,98,92,85,42,90,119,117,139,12,62,45,62,57,71,15,7,0,0,0,0,0,84,58,96
"Bacillus",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
