"","Shannon","Inv_Simpson","Pielou_evenness","Simpson_evenness","Richness","Chao1","ACE"
"Clarified_Outlet","c","a","b","a","c","c","c"
"DAF_Sludge","bc","a","ab","a","b","b","b"
"Raw_Water","b","a","a","a","bc","bc","bc"
"RGF1","a","a","a","a","b","b","b"
"RGF1B_1L_Matrix","b","a","a","a","bc","bc","bc"
"RGF1B_Matrix","b","a","a","a","bc","bc","bc"
"RGF1B_Water","a","a","a","a","a","a","a"
"RGF2","b","a","a","a","b","b","b"
"RGF3","b","a","a","a","bc","bc","bc"
"RGF4","a","a","a","a","bc","bc","bc"
"RGF5","a","a","a","a","b","b","b"
"RGF6","a","a","a","a","b","b","b"
"RGF7","b","a","a","a","b","b","b"
