"","Row.names","Control","AA","Groups","Replicate","Media_Type","Anthracite_Grade","Last_Backwash_Time","Sample_Time","Hours_Since_Last_Backwash","Sample_Volume_mL","Filter_Volume_mL","Note","DNA_Conc_ng.uL","Sample.name","SequencingDepth","Group","Shannon","Inv_Simpson","Pielou_evenness","Simpson_evenness","Richness","Chao1","ACE"
"1","HRUU1","N","RGF1B_Water","RGF.Water",1,"Water","N/A","N/A","N/A","N/A","1000","500",NA,"72","HRUU1",37080,"RGF1B_Water",5.36292153185915,107.809528708352,0.866915724623226,0.221830305984264,486,486,486
"2","HRUU10","N","RGF2","RGF",2,"Anthracite","1","30/11/2025 05:50","01/12/2025 13:30","31.67","50","N/A",NA,"175","HRUU10",37787,"RGF2",5.27464362014484,121.110100637803,0.86592928651755,0.274004752574214,442,442,442
"3","HRUU11","N","RGF3","RGF",1,"Anthracite","1","01/12/2025 03:45","01/12/2025 13:30","9.75","50","N/A",NA,"194","HRUU11",36794,"RGF3",5.03829777254219,85.2840716921783,0.850069285573253,0.227424191179142,375,375,375
"4","HRUU12","N","RGF3","RGF",2,"Anthracite","1","01/12/2025 03:45","01/12/2025 13:30","9.75","50","N/A",NA,"170","HRUU12",13503,"RGF3",5.28282648747534,141.060396171753,0.92565698618192,0.468639189939378,301,301,301
"5","HRUU13","N","RGF4","RGF",1,"Anthracite","1","30/11/2025 00:50","01/12/2025 13:30","36.67","50","N/A",NA,"196","HRUU13",14840,"RGF4",5.48574747979128,202.756505038862,0.946461839353979,0.616281170330887,329,329,329
"6","HRUU14","N","RGF4","RGF",2,"Anthracite","1","30/11/2025 00:50","01/12/2025 13:30","36.67","50","N/A",NA,"224","HRUU14",16700,"RGF4",5.52839914678772,213.399594023921,0.94748559909089,0.623975421122575,342,342,342
"7","HRUU15","N","RGF5","RGF",1,"Anthracite","1","30/11/2025 13:05","01/12/2025 13:30","24.42","50","N/A",NA,"160","HRUU15",19173,"RGF5",5.6301052481513,228.907762467759,0.944489214047091,0.589968459968452,388,388,388
"8","HRUU16","N","RGF5","RGF",2,"Anthracite","1","30/11/2025 13:05","01/12/2025 13:30","24.42","50","N/A",NA,"160","HRUU16",15604,"RGF5",5.54734864496702,213.073025114979,0.945147046923742,0.601901200889771,354,354,354
"9","HRUU17","N","RGF6","RGF",1,"Anthracite","1","01/12/2025 00:18","01/12/2025 13:30","13.2","50","N/A",NA,"49.7","HRUU17",17134,"RGF6",5.54330573334979,206.421575267262,0.935696553779633,0.551929345634391,374,374,374
"10","HRUU18","N","RGF6","RGF",2,"Anthracite","1","01/12/2025 00:18","01/12/2025 13:30","13.2","50","N/A",NA,"47","HRUU18",17888,"RGF6",5.47576129458578,183.993513834278,0.921411097521533,0.48292260848892,381,381,381
"11","HRUU19","N","RGF7","RGF",1,"Anthracite","1","01/12/2025 12:06","01/12/2025 13:30","1.4","50","N/A",NA,"152","HRUU19",15200,"RGF7",5.36682528903228,123.27100441537,0.909225592357721,0.336806022992814,366,366,366
"12","HRUU2","N","RGF1B_Water","RGF.Water",2,"Water","N/A","N/A","N/A","N/A","1000","500",NA,"114","HRUU2",15620,"RGF1B_Water",5.87040706250584,308.459927987701,0.962311496936058,0.691614188313232,446,446,446
"13","HRUU20","N","RGF7","RGF",2,"Anthracite","1","01/12/2025 12:06","01/12/2025 13:30","1.4","50","N/A",NA,"132","HRUU20",14370,"RGF7",5.45663991749286,135.393737368666,0.915785664602943,0.349854618523686,387,387,387
"14","HRUU21","N","RGF1B_Matrix","RGF1.Backwas",1,"Anthracite","1","N/A","N/A","N/A","50","N/A",NA,"114","HRUU21",14324,"RGF1B_Matrix",5.41815130045909,175.429099900213,0.938786549990945,0.546508099377612,321,321,321
"15","HRUU22","N","RGF1B_Matrix","RGF1.Backwas",2,"Anthracite","1","N/A","N/A","N/A","50","N/A",NA,"108","HRUU22",16159,"RGF1B_Matrix",5.16116182744177,105.542779341434,0.893297405019861,0.326757830778433,323,323,323
