"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif","metric"
"1","AA","Clarified_Outlet","DAF_Sludge",0,1.10694673295029,0.42782082823006,1.78607263767053,0.000898,"***","Shannon"
"2","AA","Clarified_Outlet","Raw_Water",0,1.40600802280177,0.726882118081539,2.08513392752201,7.66e-05,"****","Shannon"
"3","AA","Clarified_Outlet","RGF1",0,1.82498473334839,1.14585882862815,2.50411063806862,4.1e-06,"****","Shannon"
"4","AA","Clarified_Outlet","RGF1B_1L_Matrix",0,1.64397719540125,0.964851290681017,2.32310310012149,1.36e-05,"****","Shannon"
"5","AA","Clarified_Outlet","RGF1B_Matrix",0,1.57345801173461,0.894332107014379,2.25258391645485,2.22e-05,"****","Shannon"
"6","AA","Clarified_Outlet","RGF1B_Water",0,1.90046574496668,1.22133984024645,2.57959164968691,2.56e-06,"****","Shannon"
"7","AA","Clarified_Outlet","RGF2",0,1.67409546093913,0.994969556218894,2.35322136565936,1.1e-05,"****","Shannon"
"8","AA","Clarified_Outlet","RGF3",0,1.44436357779295,0.765237673072715,2.12348948251318,5.72e-05,"****","Shannon"
"9","AA","Clarified_Outlet","RGF4",0,1.79087476107368,1.11174885635345,2.47000066579392,5.09e-06,"****","Shannon"
"10","AA","Clarified_Outlet","RGF5",0,1.87252839434334,1.19340248962311,2.55165429906358,3.04e-06,"****","Shannon"
"11","AA","Clarified_Outlet","RGF6",0,1.79333496175197,1.11420905703173,2.4724608664722,5.01e-06,"****","Shannon"
"12","AA","Clarified_Outlet","RGF7",0,1.69553405104676,1.01640814632652,2.37465995576699,9.55e-06,"****","Shannon"
"13","AA","DAF_Sludge","Raw_Water",0,0.299061289851479,-0.380064614868755,0.978187194571713,0.842,"ns","Shannon"
"14","AA","DAF_Sludge","RGF1",0,0.718038000398093,0.038912095677859,1.39716390511833,0.0344,"*","Shannon"
"15","AA","DAF_Sludge","RGF1B_1L_Matrix",0,0.537030462450956,-0.142095442269278,1.21615636717119,0.186,"ns","Shannon"
"16","AA","DAF_Sludge","RGF1B_Matrix",0,0.466511278784319,-0.212614625935915,1.14563718350455,0.332,"ns","Shannon"
"17","AA","DAF_Sludge","RGF1B_Water",0,0.793519012016385,0.114393107296151,1.47264491673662,0.0165,"*","Shannon"
"18","AA","DAF_Sludge","RGF2",0,0.567148727988833,-0.111977176731401,1.24627463270907,0.142,"ns","Shannon"
