sample-id,Control,Sample_Name,Groups,Replicate,Media_Type,Anthracite_Grade,Last_Backwash_Time,Sample_Time,Hours_Since_Last_Backwash,Sample_Volume_mL,Filter_Volume_mL,Note,DNA_Conc_ng.uL
HRUU1,N,RGF1B_Water,RGF.Water,1,Water,N/A,N/A,N/A,N/A,1000,500,,72
HRUU2,N,RGF1B_Water,RGF.Water,2,Water,N/A,N/A,N/A,N/A,1000,500,,114
HRUU3,N,Clarified_Outlet,Clarified.Water,1,Water,N/A,N/A,N/A,N/A,1000,1000,,10
HRUU4,N,Clarified_Outlet,Clarified.Water,2,Water,N/A,N/A,N/A,N/A,1000,1000,,11.2
HRUU5,N,Raw_Water,Raw.Water,1,Water,N/A,N/A,N/A,N/A,1250,500,,19
HRUU6,N,Raw_Water,Raw.Water,2,Water,N/A,N/A,N/A,N/A,1250,750,,15.7
HRUU7,N,RGF1,RGF,1,Anthracite,1,29/11/2025 19:35,01/12/2025 13:30,41.92,50,N/A,NonBackwashZone,126
HRUU8,N,RGF1,RGF,2,Anthracite,1,29/11/2025 19:35,01/12/2025 13:30,41.92,50,N/A,NonBackwashZone,156
HRUU9,N,RGF2,RGF,1,Anthracite,1,30/11/2025 05:50,01/12/2025 13:30,31.67,50,N/A,,168
HRUU10,N,RGF2,RGF,2,Anthracite,1,30/11/2025 05:50,01/12/2025 13:30,31.67,50,N/A,,175
HRUU11,N,RGF3,RGF,1,Anthracite,1,01/12/2025 03:45,01/12/2025 13:30,9.75,50,N/A,,194
HRUU12,N,RGF3,RGF,2,Anthracite,1,01/12/2025 03:45,01/12/2025 13:30,9.75,50,N/A,,170
HRUU13,N,RGF4,RGF,1,Anthracite,1,30/11/2025 00:50,01/12/2025 13:30,36.67,50,N/A,,196
HRUU14,N,RGF4,RGF,2,Anthracite,1,30/11/2025 00:50,01/12/2025 13:30,36.67,50,N/A,,224
HRUU15,N,RGF5,RGF,1,Anthracite,1,30/11/2025 13:05,01/12/2025 13:30,24.42,50,N/A,,160
HRUU16,N,RGF5,RGF,2,Anthracite,1,30/11/2025 13:05,01/12/2025 13:30,24.42,50,N/A,,160
HRUU17,N,RGF6,RGF,1,Anthracite,1,01/12/2025 00:18,01/12/2025 13:30,13.2,50,N/A,,49.7
HRUU18,N,RGF6,RGF,2,Anthracite,1,01/12/2025 00:18,01/12/2025 13:30,13.2,50,N/A,,47
HRUU19,N,RGF7,RGF,1,Anthracite,1,01/12/2025 12:06,01/12/2025 13:30,1.4,50,N/A,,152
HRUU20,N,RGF7,RGF,2,Anthracite,1,01/12/2025 12:06,01/12/2025 13:30,1.4,50,N/A,,132
HRUU21,N,RGF1B_Matrix,RGF1.Backwas,1,Anthracite,1,N/A,N/A,N/A,50,N/A,,114
HRUU22,N,RGF1B_Matrix,RGF1.Backwas,2,Anthracite,1,N/A,N/A,N/A,50,N/A,,108
HRUU23,N,RGF1B_1L_Matrix,RGF1.Backwas,1,Water,N/A,N/A,N/A,N/A,1000,N/A,,114
HRUU24,N,RGF1B_1L_Matrix,RGF1.Backwas,2,Water,N/A,N/A,N/A,N/A,1000,N/A,,110
HRUU25,N,DAF_Sludge,DAF.Sludge,1,Water,N/A,N/A,N/A,N/A,1000,N/A,,104
HRUU26,N,DAF_Sludge,DAF.Sludge,2,Water,N/A,N/A,N/A,N/A,1000,N/A,,104
HRUU27,Y,Control,Control,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,LOW
HRUU28,Y,Control,Control,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,LOW
